,type,date,review,rating,geo,geo_2,coordinate,lon,lat,year
20005,indeed,2017-01-12,metier tres agreable Très bonne expérience.,5.0,Valence (26),valence,"[4.923011, 44.921313]",4.923011,44.921313,2017
20006,indeed,2017-01-04,"opportunités de développement le sens du service et un travail de qualité, c'est un groupe où l'on",5.0,Marignane (13),marignane,"[5.022323, 44.056448]",5.022323,44.056448,2017
20009,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
20011,indeed,2016-12-25,Environnement agréable L'ambiance est agréable et la Direction contribue au bien-être des salariés.,4.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2016
20012,indeed,2016-12-20,"Téléconseillère Travail très intéressant, équipe très dynamique, constituée de personnels d'âges différents, tous forts sympathiques, du plus bas au plus haut de l'échelle, aucune critique négative à apporter. Mission intérim très enrichissante et très agréable !",5.0,Foix,foix,"[1.607355, 42.968777]",1.607355,42.968777,2016
20015,indeed,2016-11-16,assistante poste ne me convenait pas,3.0,Caen (14),caen,"[-0.372291, 49.184571]",-0.372291,49.184571,2016
20016,indeed,2016-11-02,"Technicien à Enedis Les journées commencent tôt, sont intenses afin de garantir la stabilité et la qualité des réseaux électriques.",4.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2016
20018,indeed,2016-10-03,Avis erdf Beaucoup de choses à revoir notamment sur l'organisation.,2.0,Saint-Denis (93),saintdenis,"[-1.460324, 48.752988]",-1.460324,48.752988,2016
20020,indeed,2016-09-29,Entreprise agréable Entreprise très conviviale .,4.0,Valenciennes (59),valenciennes,"[3.510438, 50.358552]",3.510438,50.358552,2016
20021,indeed,2016-09-26,Environnement de travail agréable Environnement de travail agréable,3.0,Grenoble (38),grenoble,"[5.7243, 45.182081]",5.7243,45.182081,2016
20024,indeed,2016-09-08,Environnement de travail agréable Horaires de travail satisfaisant,4.0,Douai (59),douai,"[3.095098, 50.379346]",3.095098,50.379346,2016
20026,indeed,2016-08-26,Tres bien Tres bien car les taches sont varier ainsi tres interressante,3.0,Montmagny (95),montmagny,"[2.347039, 48.967674]",2.347039,48.967674,2016
20029,indeed,2016-08-19,Travailler à ERDF - Journées de travail typique : 09 heures - 17 heures (Journées Continues),5.0,Marignane (13),marignane,"[5.022323, 44.056448]",5.022323,44.056448,2016
20030,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
20032,indeed,2016-06-20,"travail agréable environement aussi bon travail, j'ai aimé ça mais le problème était le logement que je n'ai pu trouver sur montpellier",4.0,Perpignan (66),perpignan,"[2.902687, 42.70298]",2.902687,42.70298,2016
20035,indeed,2016-06-15,"Bonne entreprise mais manque d'organisation En comptant mon apprentissage, je travail chez ERDF depuis environ 4 ans. Une entreprise dynamique, des emplois variés et des avantages sympas.",3.0,Annemasse (74),annemasse,"[6.243413, 46.189665]",6.243413,46.189665,2016
