,type,date,review,rating,geo,geo_2,coordinate,lon,lat,year
19484,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19485,indeed,2023-06-07,"Lieu de travail adapté et poste challengeant En contrat d’alternance durant 2 ans, j’ai eu l’opportunité de gerer des projets de l’analyse des besoins de chaque client à la livraison finale du projet.",4.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2023
19488,indeed,2023-05-23,"Entreprise conseillée L'entreprise a un bon fonctionnement et une bonne ambiance de travail. Les managers sont à l'écoute et l'évolution professionnelle n'est pas impossible, au contraire elle est valorisée.",4.0,Montpellier (34),montpellier,"[3.87048, 43.610476]",3.87048,43.610476,2023
19489,indeed,2023-05-14,"Très bonne entreprise où l'on est choyée RAS, grande entreprise mais ambiance familiale. Très à l'écoute pour concilier vie perso ET vie pro. Une équipe au top et des possibilités d'évolution tous les 4 ans en moyenne.",5.0,Guyancourt (78),guyancourt,"[2.069679, 48.772925]",2.069679,48.772925,2023
19490,indeed,2023-05-09,Bien Confiance du manager c'est bien.           Habilitation facile à obtenir.                         Bonne esprit d'équipe.                         Je recommande,4.0,Givors (69),givors,"[4.755839, 45.582983]",4.755839,45.582983,2023
19492,indeed,2023-05-02,"Environnement agréable L’entreprise est attractif de part sa notoriété et l’exclusivité du métier proposé, mais malheureusement l’organisation au sein de l’entreprise est très limité dans le sens ou une personne dynamique fini frustrée de part l’organisation de l’entreprise qui à tendance à ne pas être compétitive et dans l’air du temps.",3.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2023
19493,indeed,2023-05-02,"belle expérience cdi intérimaire de 3 ans, une super ambiance et un travail très intéressant et formateur .",4.0,Bayonne (64),bayonne,"[-1.466564, 43.488544]",-1.466564,43.488544,2023
19494,indeed,2023-04-26,"Manque d'autonomie Aucune possibilité d'avoir de l’autonomie  malgré un métier de chargé d'affaires, tout les faits et geste sont soumis à des tableaux excel pour répondre à des indicateurs (complétude vert ou rouge) aucun sens ...",2.0,Reims (51),reims,"[4.055595, 49.250948]",4.055595,49.250948,2023
19496,indeed,2023-04-21,"Avis global Enedis Aquitaine Nord Service avec un turn over interimaire énorme, recruté en permanence pour palier le manque d effectif, sans espoir de recrutement définitif, c'est un réel choix stratégique depuis des années: main d'oeuvre à bas coût !",2.0,Mérignac (33),mrignac,"[-0.354007, 45.831455]",-0.354007,45.831455,2023
19497,indeed,2023-04-19,Bonne expérience Bonne expérience passé au sein de cette entreprise. Une culture bienveillante et de réelles opportunités d'évolution. Discussion ouverte et transparente avec la direction.,4.0,Paris 12e (75),parise,"[1.291913, 43.176055]",1.291913,43.176055,2023
19498,indeed,2023-04-14,Environnement très agréable Equipes à l’écoute et toujours disponibles pour former et monter en compétence.,5.0,Vienne (38),vienne,"[1.125303, 45.802269]",1.125303,45.802269,2023
19501,indeed,2023-04-11,soit tu et un mouton soit tu bouge Dommage pour Enedis mon expérience c’est terminé très mal ! En soit le poste et super le travail aussi mtn niveau relationnel et professionnalisme tout et à revoir en particulier pour Julien hosdey ARE responsable qui vous montre une image du chef super mielleux et pédagogue lol en début de mission et par la suite une autre image qui joue selon c’est humeurs et c’est tête ! Dommage ! Si vous êtes avez du caractère et que vous ne vous laissez pas faire sa devient une personne avec un ego surdimensionner et très fière et ducoup le chef pédagogue et mielleux du début disparaît :),1.0,Valenciennes (59),valenciennes,"[3.510438, 50.358552]",3.510438,50.358552,2023
19502,indeed,2023-04-10,Excellente entreprise Excellente entreprise pour apprendre et développer ses compétence. Environnement de travail sain.,5.0,Paris,paris,"[2.347, 48.859]",2.347,48.859,2023
19503,indeed,2023-04-08,Bonne experience Bonne ambiance de travail mais fait appel régulièrement a des contrats courts ou intérimaires,4.0,Brest (29),brest,"[-4.497736, 48.406435]",-4.497736,48.406435,2023
19504,indeed,2023-04-06,"Alternance au top Super alternance, horaires souples, nombreux avantages et mieux payés si on prépare un bac +5 (82% du smic). Aides non négligeables.",4.0,Nice (06),nice,"[7.250987, 43.713012]",7.250987,43.713012,2023
19505,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19507,indeed,2023-03-30,Très bonne expérience professionnelle J'ai effectué mon bachelor RH chez Enedis et cela a été une très bonne expérience. Une entreprise avec de très bonnes valeurs qui veille au bien-être et à la sécurité de ses salariés. Entreprise dans laquelle il est possible d'évoluer et de toucher à beaucoup de missions. Je recommande fortement.,5.0,Poitiers (86),poitiers,"[0.356849, 46.586616]",0.356849,46.586616,2023
19508,indeed,2023-03-29,Ni égalité ni mixité Regrettable mais vécue une expérience au cœur du service public où l'humain n'est respecté que si légitimé en tant que blanc et de sexe masculin. Au sein de la cellule où j'ai pu évoluer certains agents statutaires affichaient clairement leurs positions politiques RN tandis que d'autres proclamaient la promotion canapé. De plus l'intérimaire n'est ni respecté ni valorisė... c'est l'esclavage moderne au service de la précarité.,1.0,Le Cannet (06),lecannet,"[-0.667446, 49.08306]",-0.667446,49.08306,2023
19512,indeed,2023-03-24,Intérim sans avenir dans la fibre + plein de RTT,2.0,Vienne (38),vienne,"[1.125303, 45.802269]",1.125303,45.802269,2023
19513,indeed,2023-03-20,"Une entreprise de service public Actuellement en poste chez ENEDIS, service AIS, je recommande à tous jeunes voulant faire carrière dans l’énergie de postuler chez nous. Les possibilités qu’offre l’entreprise pour la carrière de ses salariés est immense. Des métiers très intéressants et variés pour les curieux.",5.0,Bourges,bourges,"[1.861995, 42.962794]",1.861995,42.962794,2023
19514,indeed,2023-03-20,Super entreprise En contrat d'intérim pour 18 mois. SUPER EXPÉRIENCE.,5.0,Brest (29),brest,"[-4.497736, 48.406435]",-4.497736,48.406435,2023
19515,indeed,2023-03-18,Très bonne entreprise J'ai effectuée deux missions d'intérim dans 2 services différents et ce fut ma meilleure expérience professionnelle.beaucoup de bienveillance et on est très vite intégrées dans l'équipe,5.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2023
19517,indeed,2023-03-10,"Travail agréable Travail agréable, pas d'embauche au bout de 3 ans en intérim, dommage qu'ils ne reconnaissent pas les talents auprès des intérimaires",4.0,Marseille (13),marseille,"[5.405, 43.282]",5.405,43.282,2023
19518,indeed,2023-03-03,agréable Travail de stage première expérience pour le stage d'ingénieur première année dans un contexte particulier post covid. Le travail était agréable bien qu'un peu répétitif.,5.0,Paris 13e (75),parise,"[1.291913, 43.176055]",1.291913,43.176055,2023
19519,indeed,2023-03-03,Chef d'équipe à nantes Très bonne ambiance.                                                                                               Vraiment je recommande cette entreprise,5.0,Nantes (44),nantes,"[-1.555335, 47.239367]",-1.555335,47.239367,2023
19520,indeed,2023-03-01,"Travail intéressant Une responsable de pôle bienveillante, à l’écoute de ses agents au détriment d’une manager arriviste, acariâtre, volubile avec un seul crédo…Diviser pour mieux régner.",2.0,Narbonne,narbonne,"[0.649303, 47.31119]",0.649303,47.31119,2023
19521,indeed,2023-02-28,"Superbe expérience avec ENEDIS ! Très satisfait de mon expérience chez Enedis en tant que conseiller clients et fournisseurs. Très bonne ambiance de travail, bienveillance et confiance. On ne peut aller travailler qu'avec envie et plaisir chez Enedis.",5.0,Tarbes (65),tarbes,"[0.065776, 43.239085]",0.065776,43.239085,2023
19522,indeed,2023-02-23,"Bonne ambiance Tres bonne expérience des collaborateurs  à l’écoute. Bonne ambiance de travail, la formation c’est super bien passer le seul  point négatif peu de proposition d’évolution en interne",5.0,Toulouse (31),toulouse,"[1.433805, 43.604082]",1.433805,43.604082,2023
19523,indeed,2023-02-23,Organisation Mal organisée dans la montée en compétences de son personnel.,3.0,Le Mans (72),lemans,"[-2.911163, 48.525144]",-2.911163,48.525144,2023
19526,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19527,indeed,2023-01-16,"Bonne ambiance de travail Une merveilleuse culture d'entreprise. J'ai appris beaucoup, j'apprécie toujours notre patron en ING qui était un leader ouvert. Il était présent, à l'écoute et ayant un vocabulaire correct.",5.0,Tours (37),tours,"[0.69472, 47.395476]",0.69472,47.395476,2023
19528,indeed,2023-01-12,Environnement agréable Très bonne expérience entreprise à l’écoute des salariés,5.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2023
19529,indeed,2023-01-12,"Très bonne entreprise Très formateur pour l’alternance, bien-être au travail assuré.",5.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2023
19530,indeed,2023-01-10,Salarié polyvalent En contrat de durée déterminer j'ai passé une bonne expérience niveau travail et ambiance je compte m'engager pour un cdi en espérant évoluer rapidement,5.0,Avignon (84),avignon,"[-1.759717, 48.390709]",-1.759717,48.390709,2023
19531,indeed,2022-12-30,Environnement de travail agréable Bonne ambiance bien aide si l on a besoin bien pour tout les épi et outillages,5.0,Antibes (06),antibes,"[7.103245, 43.582206]",7.103245,43.582206,2022
19532,indeed,2022-12-25,"Salaire très bas Salaire très bas évolution de carrière extrêmement lent à moins d'être un faillot puissance 1000, plus tu es c** et plus tu évolue..",1.0,Cergy (95),cergy,"[2.046317, 49.042161]",2.046317,49.042161,2022
19533,indeed,2022-12-18,Expérience très enrichissante Formation en interne très efficace ce qui est un point non négligeable pour la jeune génération.,5.0,Limoges (87),limoges,"[1.221254, 45.856159]",1.221254,45.856159,2022
19534,indeed,2022-12-17,"Bon accueil, bonne ambiance 8h30-16h30",4.0,Dijon (21),dijon,"[5.034852, 47.331938]",5.034852,47.331938,2022
19535,indeed,2022-12-14,"Très bonne expérience Contrat intérimaire, très bonne expérience professionnel. Bonne ambiance et autonomie.",5.0,Tarbes (65),tarbes,"[0.065776, 43.239085]",0.065776,43.239085,2022
19536,indeed,2022-11-28,Conseillère clientele Au top,5.0,Hyères (83),hyres,"[0.636156, 48.962585]",0.636156,48.962585,2022
19537,indeed,2022-11-27,Bonne entreprise Bonne entreprise avec équilibre vie privée et professionnelle,4.0,Douai (59),douai,"[3.095098, 50.379346]",3.095098,50.379346,2022
19538,indeed,2022-11-14,"Bonne expérience mais sans avenir J’ai passé une excellente année d’alternance chez Enedis, mais aucune possibilité d’embauche à la fin. Ce recrutement "" seulement en interne"" fait perdre en compétence pour les nouveaux chargé de communication",4.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2022
19539,indeed,2022-11-10,Globalement positif Très bonne entreprise. Sens de la satisfaction et du service public.,4.0,Montluçon (03),montluon,"[2.856052, 47.687336]",2.856052,47.687336,2022
19540,indeed,2022-11-09,"Ancien technicien Enedis J’ai travaillé chez Enedis pendant 10 ans en tant que technicien clientèle puis technicien d’intervention polyvalent sur Paris. L’ambiance générale du travail entre collègues est plutôt bonne, les conditions de travail aussi par contre le point négatif c’est le salaire pas très attractif et l’évolution de carrière c’est par affinité avec le corps managériale  et non par reconnaissance de votre travail c’est d’ailleurs pour cette raison que j’ai démissionné. En résumé, si vous souhaitez faire carrière et évoluer rapidement allez voir d’autres entreprises plutôt qu’Enedis.",2.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2022
19541,indeed,2022-11-08,"Responsable Identifié de la Préparation N'étant pas de ce secteur d'activité, expérience en demi-teinte. Enormément de lacunes techniques rendant la compréhension et la logique très compliquée.",1.0,Le Mans (72),lemans,"[-2.911163, 48.525144]",-2.911163,48.525144,2022
19542,indeed,2022-11-02,correct J'ai travaillé sur une mission SQL. L'ambiance était correcte.,3.0,Courbevoie (92),courbevoie,"[2.256986, 48.897998]",2.256986,48.897998,2022
19543,indeed,2022-10-23,Avis en temps qu’intérimaire J’ai fais 2 fois 18 mois avec une période de carence de 4 mois et demi au sein de l’entreprise Enedis. Soit 3 ans et demi environ.   Vu que je suis titulaire d’un BTS le salaire n’est pas fou mais correct pour de l’intérim. Les horaires sont de 35h/ semaine. Le 13 eme mois est versé par heure .,4.0,Blois (41),blois,"[1.316402, 47.581246]",1.316402,47.581246,2022
19544,indeed,2022-10-11,"Environnement de travail agréable Très belle expérience professionnelle et humaine, les salariés représentent totalement les valeurs de ""l entreprise"".",4.0,La Rochelle (17),larochelle,"[0.177615, 44.356911]",0.177615,44.356911,2022
19546,indeed,2022-09-30,Entreprise à l'écoute Très bonne entreprise en règle générale.,4.0,Saintes (17),saintes,"[-0.647217, 45.748804]",-0.647217,45.748804,2022
19547,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19549,indeed,2022-09-21,Environnement de travail agréable Superbe boîte avec possibilité de monté en compétence,4.0,Paris 15e (75),parise,"[1.291913, 43.176055]",1.291913,43.176055,2022
19550,indeed,2022-09-14,bon atmosphère bon atmosphère de travail,4.0,Albi (81),albi,"[2.15166, 43.929999]",2.15166,43.929999,2022
19551,indeed,2022-09-12,"Environnement calme et agréable Bon ambiance des collègues sympa.Avantages: CE,primes d'intéressement, très bon condition de travail.",4.0,Vienne (38),vienne,"[1.125303, 45.802269]",1.125303,45.802269,2022
19552,indeed,2022-08-29,"Environnement de travail agréable Entreprise simple mais toujours à l'écoute. Je recommande enedis car du personnel toujours présent pour venir en aide, je recommande.",5.0,Chaumont (52),chaumont,"[5.129315, 48.099428]",5.129315,48.099428,2022
19553,indeed,2022-08-28,"Environnement et équipe sympa Dommage que l’on soit mal rémunéré en intérim, payée à l’heure et récup en RTT 40 h/ semaine pour toucher à peine le smic !",4.0,Valence (26),valence,"[4.923011, 44.921313]",4.923011,44.921313,2022
19554,indeed,2022-08-26,Super en apprentissage Beaucoup d'avantages financiers pour les alternants,5.0,Tours (37),tours,"[0.69472, 47.395476]",0.69472,47.395476,2022
19556,indeed,2022-08-16,"environnement de travail Un environnement de travail très agréable, avec beaucoup d'avantages sociaux..",5.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2022
19557,indeed,2022-08-16,"Bonne expérience Très bonne expérience, juste petit bémol un management déplorable",4.0,Mérignac (33),mrignac,"[-0.354007, 45.831455]",-0.354007,45.831455,2022
19559,indeed,2022-08-10,Fuyez Fuyez le site de Tarbes. Bonne expérience dans un autre site,1.0,Tarbes (65),tarbes,"[0.065776, 43.239085]",0.065776,43.239085,2022
19563,indeed,2022-07-22,Assistante Bon esprit. Entreprise agréable. Prend le temps de former,5.0,53000 Laval,laval,"[-0.772562, 48.061435]",-0.772562,48.061435,2022
19564,indeed,2022-07-21,Déception Aucunes évolutions de carrière possibles. Aucun épanouissement.  Sensation de ne servir à rien et de ne pas être soutenu par les hiérarchies.,1.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2022
19565,indeed,2022-07-12,Très décevant Très déçu par cette entreprise ou nous sommes que des numéros. Beaucoup de favoritisme pour grimper les échelons..,2.0,Montpellier (34),montpellier,"[3.87048, 43.610476]",3.87048,43.610476,2022
19567,indeed,2022-07-10,Très bonne entreprise Très bonne expérience au sein de l’entreprise malgré système de revenu à revoir.,4.0,Orvault (44),orvault,"[-1.86835, 47.625765]",-1.86835,47.625765,2022
19568,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19569,indeed,2022-07-03,"Environnement de travail agréable Reconnaissance, missions stimulantes, évolutions de carrières possible si prêt à bouger",5.0,Metz (57),metz,"[6.194897, 49.108385]",6.194897,49.108385,2022
19570,indeed,2022-06-27,Bien Bonne entreprise hélas beaucoup de travail donner au prestataire ce qui rend le travail moins attractif,4.0,Douai (59),douai,"[3.095098, 50.379346]",3.095098,50.379346,2022
19571,indeed,2022-06-27,Bonne alternance J'ai effectué mon alternance BAC+5 et cela c'est très bien passé,4.0,Rouen (76),rouen,"[1.093912, 49.440044]",1.093912,49.440044,2022
19572,indeed,2022-06-18,An average company It isn't so bad and they respect the employee but it is very competitive,3.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2022
19573,indeed,2022-06-14,"Equipe très sympathique Travail répétitif mais qui n'est pas désagréable.  Equipe très sympa, utilisation de de nombreux contrats courts.  Pas de perspective d'embauche en région Bretagne.",4.0,Brest (29),brest,"[-4.497736, 48.406435]",-4.497736,48.406435,2022
19576,indeed,2022-05-31,"Agréable Bon cadre, beaucoup de congés mais salaire moyen, et bon collègues",5.0,Nanterre (92),nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2022
19577,indeed,2022-05-31,Travail agréable sauf salaire Télétravail possible,4.0,Reims (51),reims,"[4.055595, 49.250948]",4.055595,49.250948,2022
19578,indeed,2022-05-19,Ancien Alternant technicien clientèle J ai était alternant dans cette entreprise pour la préparation du bac pro électrotechnique,4.0,Bordeaux (33),bordeaux,"[-0.587877, 44.851895]",-0.587877,44.851895,2022
19581,indeed,2022-05-15,"Environnement de travail top Une très belle année au sein d’Enedis Alpes, de belles missions et de beaux projets. CependaNt il est difficile d’y rentrer en tant que communicant et d’y faire carrière.",5.0,Chambéry (73),chambry,"[2.88889, 48.999843]",2.88889,48.999843,2022
19582,indeed,2022-05-14,"Stage Agéable 2 Stages chez Enedis, très satisfait. aucun bémol sauf peut-être un manque de responsabilité donné au stagiaire",5.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2022
19583,indeed,2022-05-13,Cadre sympa. Formation employeur de 2 semaines mais peu adaptée au terrain,3.0,Antibes (06),antibes,"[7.103245, 43.582206]",7.103245,43.582206,2022
19584,indeed,2022-05-04,Un esprit d'équipe exceptionnelle Une entreprise où l'entraide et la bienveillance règnent.,5.0,Caudan (56),caudan,"[-2.918721, 48.082717]",-2.918721,48.082717,2022
19586,indeed,2022-04-27,"Environnement de travail agréable Bonne entreprise où il fait bon travailler, bonnes équipes et bonne culture d'entreprise",4.0,Lyon,lyon,"[4.835, 45.758]",4.835,45.758,2022
19587,indeed,2022-04-23,Environnement de travail agréable Bonne ambiance et un bon esprit d'équipe,4.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2022
19588,indeed,2022-04-16,Meilleure expérience J ai adoré faire mes 18mois en contrat d intérim là bas . Mes premiers pas dans le secteur administratif. Une vraie révélation professionnelle et managériale. Où travailler à été un vrai plaisir quotidien.,5.0,Valence (26),valence,"[4.923011, 44.921313]",4.923011,44.921313,2022
19589,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19590,indeed,2022-04-09,Plutot detendu Ne pas se fier au passé de l'entreprise. Elle n'est plus ce qu'elle était,3.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2022
19596,indeed,2022-03-22,Contrat intérim Agréable expérience mais pas de CDI possible à au moment de mon contrat,4.0,Grenoble (38),grenoble,"[5.7243, 45.182081]",5.7243,45.182081,2022
19598,indeed,2022-03-17,Environnement de travail agréable Bon environnement de travail. La formation peut faire peur mais il faut s’accrocher! Sinon le travail est très répétitif,4.0,Épinal (88),pinal,"[5.719126, 45.191209]",5.719126,45.191209,2022
19600,indeed,2022-03-12,A fuir en idf Vous pouvez vous pliez en 4 il vous briseront en 8 et ferons ce qu’il peuvent pour vous radiée sans indemnités. La direction : des voyous avec les usagers à travers leurs salariés. Copinage recommandé avec la direction pour évoluer sinon mange tes cacahuètes. Aucune reconnaissance du travail.,2.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2022
19602,indeed,2022-02-28,Opportunités d'évolution Management très agréable et bienveillant. Beaucoup de reconnaissance et de confiance qui m'ont permis d'évoluer dans l'entreprise même en apprentissage.,5.0,Orléans (45),orlans,"[6.121064, 48.765601]",6.121064,48.765601,2022
19603,indeed,2022-02-26,Excellente entreprise Expérience professionnelle trop courte.,5.0,65000 Tarbes,tarbes,"[0.065776, 43.239085]",0.065776,43.239085,2022
19604,indeed,2022-02-26,"Top Travail dans une equipe soudée, bel enrichissement professionnel.",5.0,Floirac (33),floirac,"[-0.520605, 44.834054]",-0.520605,44.834054,2022
19605,indeed,2022-02-22,"Bonne expérience Très bonne entreprise avec une excellente formation. Travail sans forte pression et qui prône l'autonomie, je conseille vivement.",4.0,Orvault (44),orvault,"[-1.86835, 47.625765]",-1.86835,47.625765,2022
19606,indeed,2022-02-16,"Excellente entreprise à valeurs humaines J'ai réalisé mes deux année de BTS Communication chez Enedis. Mes supérieurs hiérarchiques m'ont parfaitement encadrée. J'ai eu la possibilité de créer mon propre projet d'entreprise et ai été accompagnée et soutenue dans toutes les étapes de la mise en place de mon projet. Mes collègues, bienveillants, ont également été d'une grande écoute et j'ai passé deux années de formation en alternance merveilleuses.",5.0,Lyon (69),lyon,"[4.835, 45.758]",4.835,45.758,2022
19609,indeed,2022-02-07,Bonne expérience Entreprise avec une bonne ambiance et de l'entraide. Rémunération correcte. Tickets resto prisnen charge à 50% par l'entreprise.,4.0,Marignane (13),marignane,"[5.022323, 44.056448]",5.022323,44.056448,2022
19610,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19611,indeed,2022-02-04,"Enedis bientôt à vendre Enedis et comme les avantages, elles fondent comme une glace au soleil... Tout les ans le statut et pointé du doigt. La direction ne fait rien pour sauver l'entreprise",2.0,Maubeuge,maubeuge,"[3.965341, 50.284569]",3.965341,50.284569,2022
19612,indeed,2022-01-23,"Environnement et travail J'ai adoré travailler dans cette entreprise, j'ai appris beaucoup de  chose! J'avais une équipe d'enfer !!!",5.0,Valenciennes (59),valenciennes,"[3.510438, 50.358552]",3.510438,50.358552,2022
19613,indeed,2022-01-17,Environnement de travail agréable Expérience satisfaisante,4.0,Bordeaux (33),bordeaux,"[-0.587877, 44.851895]",-0.587877,44.851895,2022
19615,indeed,2022-01-08,"Technicien intervention polyvalent CDD Pas de possibilité d'embauche dans la branche exécution. Travail dans l'urgence, le technicien clientèle subit en permanence l'exaspération des clients ( délais attente RDV trop long du au manque de personnel).",3.0,Dax (40),dax,"[1.746158, 43.412631]",1.746158,43.412631,2022
19616,indeed,2021-12-24,Super entreprise Super entreprise mais uniquement des recrutements d'intérimaires. Dommage car on s'y sent bien.,5.0,Brest (29),brest,"[-4.497736, 48.406435]",-4.497736,48.406435,2021
19617,indeed,2021-12-24,"Grosse structure, peu d'apprentissage Bonne ambiance,  grosse entreprise donc leu d'encadrement.",3.0,Paris (75),paris,"[2.347, 48.859]",2.347,48.859,2021
19618,indeed,2021-12-23,Conditions de travail agréables et excellente ambiance de groupe. Belle entreprise à l'écoute de ses salariés -dommage que beaucoup de postes ne soient ouverts qu'à l'intérim - le travail peut s'avérer pourtant intéressant et enrichissant.,4.0,Tulle (19),tulle,"[1.764073, 45.267177]",1.764073,45.267177,2021
19619,indeed,2021-12-20,"Très bonne entreprise, mais évolution et système de rémunération dépassés Une entreprise avec de nombreux métiers à découvrir et permettant d'allier vie professionnelle et vie familiale de façon agréable, où règne une bonne ambiance générale.",3.0,Courcouronnes (91),courcouronnes,"[2.40963, 48.615221]",2.40963,48.615221,2021
19620,indeed,2021-12-18,"Bonne entreprise J'ai eu la chance de faire un stage dans cette entreprise, c'était génial.",5.0,Creil (60),creil,"[2.478561, 49.257474]",2.478561,49.257474,2021
19621,indeed,2021-12-17,Environnement de travail agréable et une bonne ambiance Environnement de travail agréable et une bonne ambiance au Pôle HYPERVISION et au Pôle traitement Est au département GI2R au service RCG et bonne entente et ambiance.,5.0,Bourges (18),bourges,"[1.861995, 42.962794]",1.861995,42.962794,2021
19623,indeed,2021-12-01,Conditions Entreprises ne prends pas en considération l'investissement fait,1.0,Nîmes (30),nmes,"[4.936431, 45.691355]",4.936431,45.691355,2021
19624,indeed,2021-11-26,"Entreprise humaine, Bonne ambiance. Plusieurs expériences en Intérim dans cette entreprise.",4.0,Nantes (44),nantes,"[-1.555335, 47.239367]",-1.555335,47.239367,2021
19625,indeed,2021-11-25,Environnement de travail agréable Très bonne équipe,5.0,Rodez (12),rodez,"[2.566732, 44.359272]",2.566732,44.359272,2021
19629,indeed,2021-10-12,"Une expérience à vivre sois même Je ne souhaite pas que mon avis influence une quelconque décision, pour cela, je vais être objective, dans l’ensemble on ne se plaint pas (pour ma par). Je ne connais pas comment fonctionne l procédure de recrutement en interne, ce que j’ai entendu dire est que le recrutement dans l’entreprise est brassé d’un manière flou et incompris par tous. Le travail en équipe est au rendez-vous, ils sont avenants à l’écoute etc.",5.0,Toulouse (31),toulouse,"[1.433805, 43.604082]",1.433805,43.604082,2021
19630,indeed,2021-10-11,"Hiérarchique Hiérarchique miséreux, ne sont pas là pour vous aidez en cas de soucis mais pour plus vous enfoncez",1.0,Belley (01),belley,"[5.688373, 45.754371]",5.688373,45.754371,2021
19631,indeed,2019-12-31,"Productive and fun workplace Enedis is one of the best frensh companies in terms of the human care and of professional career processing. At Enedis, you can be productive, you can develop your skills and you can manage your time to have a good scale between your private life and your Professional life.",5.0,Nanterre,nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2019
19632,indeed,2021-10-07,"Une bell expérience L'ambiance au travail est très agréable, c'est ce qui nous donne envie de venir travailler au quotidien.",5.0,Grenoble (38),grenoble,"[5.7243, 45.182081]",5.7243,45.182081,2021
19633,indeed,2021-09-16,Exploité Paie au lance pierre ambiance très médiocre !! Recrute des gens même pas du métier,2.0,Chambéry (73),chambry,"[2.88889, 48.999843]",2.88889,48.999843,2021
19635,indeed,2021-08-08,Environnement de travail agréable Equipe à l'écoute,5.0,Nanterre (92),nanterre,"[2.202314, 48.898095]",2.202314,48.898095,2021
19636,indeed,2021-08-06,Environment de travail agréable Formé sur les dossiers pour verifier problème compteur linky  à distance . Appel client pour prendre rdv avec technicien,4.0,Antibes (06),antibes,"[7.103245, 43.582206]",7.103245,43.582206,2021
19640,indeed,2021-06-04,"Environnement de travail desagreable Une cheffe hystérique qui n'a aucune empathie vulgaire désagréable aucune remise en question mauvaise dans son rôle de manager ! Reproche aux autres de ne pas être collectif alors que elle même précise avoir ses ""chouchou"" Je ne recommande cette entreprise à aucune personne stable !",1.0,Eysines (33),eysines,"[-0.645875, 44.876862]",-0.645875,44.876862,2021
19641,indeed,2021-05-24,Pour ceux qui aiment se faire détruire au téléphone Mon expérience concerne le service Acheminement de Paris. Le travail consiste à répondre au téléphone aux clients (généralement furieux) et aux mails reçus.,1.0,Paris,paris,"[2.347, 48.859]",2.347,48.859,2021
19642,indeed,2021-05-19,"Poste administratif Entreprise sérieuse et dynamique, poste avec responsabilités mission mener à bien.",5.0,Reims (51),reims,"[4.055595, 49.250948]",4.055595,49.250948,2021
19643,indeed,2021-05-13,"Dommage. Un stage de 4 mois très enrichissant, une équipe très agréable qui prends le temps d'échanger, une super ambiance au bureau. Mais...",3.0,Béziers,bziers,"[2.504717, 42.639086]",2.504717,42.639086,2021
